F1,Danceability,Energy,Loudness,Liveness,Valence,Views,Likes,Stream
169,0.742,0.617,-6.689,0.0711,0.491,19671018,273280,62736773
170,0.594,0.749,-5.298,0.3,0.694,2133459242,9883068,865695837
171,0.628,0.69,-5.83,0.113,0.66,1381668642,4089045,765561212
172,0.635,0.713,-6.909,0.0506,0.749,736730327,2634233,418186764
173,0.627,0.849,-3.167,0.145,0.818,592005,6740,185931694
174,0.681,0.648,-5.021,0.104,0.688,321420163,1811446,350576786
175,0.855,0.912,-4.832,0.122,0.885,115543124,748538,136025763
176,0.76,0.803,-2.867,0.0555,0.922,61711565,435031,37382738
177,0.832,0.608,-6.042,0.0761,0.589,1546036758,4733493,479847676
178,0.591,0.785,-7.768,0.126,0.785,24706293,557112,89466323
179,0.827,0.788,-11.937,0.0764,0.815,162725,2340,126333112
180,0.557,0.54,-10.484,0.179,0.394,114971785,1126554,942898131
181,0.443,0.403,-8.339,0.111,0.41,131925109,1075941,526788025
182,0.533,0.376,-11.913,0.0926,0.187,31607772,383619,574936342
183,0.332,0.179,-11.83,0.0886,0.315,42856675,475089,475131674
184,0.482,0.849,-9.198,0.0414,0.937,53228361,490790,341963190
185,0.686,0.127,-14.361,0.0573,0.372,33852949,365297,326733164
186,0.688,0.435,-11.359,0.113,0.435,63223118,463315,266426563
187,0.386,0.607,-7.7,0.088,0.532,56888766,460662,486111943
188,0.49,0.715,-5.549,0.311,0.866,28799448,275921,334903879
189,0.396,0.338,-10.872,0.138,0.377,96849734,675186,233382117
190,0.671,0.939,-3.206,0.298,0.53,1007596168,4265538,777641580
191,0.581,0.963,-4.087,0.139,0.788,1405539965,5671596,1120973873
192,0.721,0.802,-5.797,0.694,0.724,253293371,1423079,981156901
193,0.673,0.758,-3.632,0.341,0.542,704875181,2999847,481224452
194,0.67,0.855,-3.035,0.335,0.648,866480662,2961540,347393726
195,0.761,0.933,-5.38,0.0607,0.836,307624507,1576522,424022714
196,0.592,0.935,-4.317,0.132,0.567,894756316,4925915,222056078
197,0.85,0.631,-8.401,0.0679,0.738,313590021,1533812,374912951
198,0.595,0.912,-3.428,0.259,0.762,300032949,1078390,193172998
199,0.898,0.677,-6.422,0.35,0.578,52214351,688783,52166142
200,0.742,0.882,-2.862,0.206,0.463,1120854023,7147862,851711837
201,0.951,0.6,-4.675,0.0712,0.822,361314925,2124819,590578908
202,0.801,0.764,-5.112,0.247,0.578,165860569,2514731,122450231
203,0.741,0.824,-4.143,0.158,0.725,208573237,1324227,381155556
204,0.718,0.776,-5.208,0.207,0.622,505918510,2235710,266413452
205,0.855,0.674,-4.328,0.0548,0.578,306887054,1317175,49412471
206,0.711,0.761,-3.04,0.041,0.718,306887054,1317175,51339097
207,0.765,0.666,-5.384,0.116,0.757,314611933,2018040,176824685
208,0.812,0.712,-5.993,0.108,0.85,81787112,668740,47517159
209,0.828,0.588,-7.14,0.124,0.598,256405663,1928933,336056798
210,0.396,0.293,-14.062,0.105,0.343,363854960,3486602,642724292
211,0.465,0.27,-16.661,0.145,0.58,46348788,209579,293604060
