F1,Url_spotify,Track,Url_youtube,Title,Views,Likes,Stream
79,https://open.spotify.com/artist/4Z8W4fKeB5YxbusRsdQVPb,Nude,https://www.youtube.com/watch?v=BbWBRnDK_AE,Radiohead - Nude,12205514,124486,86388469
80,https://open.spotify.com/artist/711MCceyCBcFnzjGY4Q7Un,Highway to Hell,https://www.youtube.com/watch?v=l482T0yNkeo,AC/DC - Highway to Hell (Official Video),274830901,2039258,1143164505
81,https://open.spotify.com/artist/711MCceyCBcFnzjGY4Q7Un,Thunderstruck,https://www.youtube.com/watch?v=v2AC41dglnM,AC/DC - Thunderstruck (Official Video),1224226060,5989128,1088388556
82,https://open.spotify.com/artist/711MCceyCBcFnzjGY4Q7Un,Back In Black,https://www.youtube.com/watch?v=pAgnJDJN4VA,AC/DC - Back In Black (Official Video),915158054,5643694,1182379398
83,https://open.spotify.com/artist/711MCceyCBcFnzjGY4Q7Un,You Shook Me All Night Long,https://www.youtube.com/watch?v=Lo2qQmj0_h4,AC/DC - You Shook Me All Night Long (Official Video),279117834,1348845,802076123
84,https://open.spotify.com/artist/711MCceyCBcFnzjGY4Q7Un,T.N.T.,https://www.youtube.com/watch?v=44XYEeD1A1U,"AC/DC - T.N.T. (Live At River Plate, December 2009)",240908491,934797,526521070
85,https://open.spotify.com/artist/711MCceyCBcFnzjGY4Q7Un,Hells Bells,https://www.youtube.com/watch?v=etAIpkdhU9Q,AC/DC - Hells Bells (Official Video),252038354,1067479,296521772
86,https://open.spotify.com/artist/711MCceyCBcFnzjGY4Q7Un,Dirty Deeds Done Dirt Cheap,https://www.youtube.com/watch?v=jsjdjWGDvFk,AC/DC - Dirty Deeds Done Dirt Cheap (Official Audio),852728,14044,269837425
87,https://open.spotify.com/artist/711MCceyCBcFnzjGY4Q7Un,Shoot to Thrill,https://www.youtube.com/watch?v=xRQnJyP77tY,AC/DC - Shoot To Thrill (Iron Man 2 Version),172293392,642344,292026041
88,https://open.spotify.com/artist/711MCceyCBcFnzjGY4Q7Un,It's a Long Way to the Top (If You Wanna Rock 'N' Roll),https://www.youtube.com/watch?v=j9Z39Uqybcw,AC/DC - It's a Long Way to the Top (If You Wanna Rock 'n' Roll) (Official Video),102527,1881,196347993
89,https://open.spotify.com/artist/711MCceyCBcFnzjGY4Q7Un,Rock N Roll Train,https://www.youtube.com/watch?v=FrFvNphZ5BQ,AC/DC - Rock N Roll Train (Official Video),18237531,119749,144143014
90,https://open.spotify.com/artist/1yxSLGMDHlW21z4YXirZDS,I Gotta Feeling,https://www.youtube.com/watch?v=uSD4vsh1zDA,The Black Eyed Peas - I Gotta Feeling (Official Music Video),638267058,3670416,1001227038
91,https://open.spotify.com/artist/1yxSLGMDHlW21z4YXirZDS,DON'T YOU WORRY,https://www.youtube.com/watch?v=me19SUmWu2s,"Black Eyed Peas, Shakira, David Guetta - DON'T YOU WORRY (Official Music Video)",144690551,1327396,162685755
92,https://open.spotify.com/artist/1yxSLGMDHlW21z4YXirZDS,Where Is The Love?,https://www.youtube.com/watch?v=WpYeekQkAdc,The Black Eyed Peas - Where Is The Love? (Official Music Video),888076529,4899065,752091441
93,https://open.spotify.com/artist/1yxSLGMDHlW21z4YXirZDS,Just Can’t Get Enough,https://www.youtube.com/watch?v=OrTyD7rjBpw,The Black Eyed Peas - Just Can't Get Enough (Official Music Video),292211575,1594576,331578264
94,https://open.spotify.com/artist/1yxSLGMDHlW21z4YXirZDS,GIRL LIKE ME,https://www.youtube.com/watch?v=vMLk_T0PPbk,"Black Eyed Peas, Shakira - GIRL LIKE ME (Official Music Video)",662529115,5488829,453923193
95,https://open.spotify.com/artist/1yxSLGMDHlW21z4YXirZDS,Pump It,https://www.youtube.com/watch?v=ZaI2IlHwmgQ,The Black Eyed Peas - Pump It (Official Music Video),755836314,4746197,492130246
96,https://open.spotify.com/artist/1yxSLGMDHlW21z4YXirZDS,Pump It Louder,https://www.youtube.com/watch?v=H7qR7xvKFEU,Tiësto & Black Eyed Peas - Pump It Louder (Official Video),2099141,61252,27908495
97,https://open.spotify.com/artist/1yxSLGMDHlW21z4YXirZDS,Meet Me Halfway,https://www.youtube.com/watch?v=I7HahVwYpwo,The Black Eyed Peas - Meet Me Halfway (Official Music Video),458724349,2094991,363930118
