F1,Artist,Url_spotify,Track,Url_youtube,Views,official_video,Spotify_Available,Stream
70,Radiohead,https://open.spotify.com/artist/4Z8W4fKeB5YxbusRsdQVPb,Creep,https://www.youtube.com/watch?v=XFkzRNyygfk,763497849,True,1,1101854725
71,Radiohead,https://open.spotify.com/artist/4Z8W4fKeB5YxbusRsdQVPb,No Surprises,https://www.youtube.com/watch?v=u5CVsCnxyXg,167847274,True,1,379349681
72,Radiohead,https://open.spotify.com/artist/4Z8W4fKeB5YxbusRsdQVPb,Karma Police,https://www.youtube.com/watch?v=1uYWYWPc9HU,89246405,True,1,382823305
73,Radiohead,https://open.spotify.com/artist/4Z8W4fKeB5YxbusRsdQVPb,High and Dry,https://www.youtube.com/watch?v=AG6H5i1x5A0,80290,False,1,291096318
74,Radiohead,https://open.spotify.com/artist/4Z8W4fKeB5YxbusRsdQVPb,Exit Music (For A Film),https://www.youtube.com/watch?v=Bf01riuiJWA,10644157,True,1,146857863
75,Radiohead,https://open.spotify.com/artist/4Z8W4fKeB5YxbusRsdQVPb,Weird Fishes/ Arpeggi,https://www.youtube.com/watch?v=TNRCvG9YtYI,15335499,True,1,121688699
76,Radiohead,https://open.spotify.com/artist/4Z8W4fKeB5YxbusRsdQVPb,Jigsaw Falling Into Place,https://www.youtube.com/watch?v=GoLJJRIWCLU,26398730,True,1,79367881
77,Radiohead,https://open.spotify.com/artist/4Z8W4fKeB5YxbusRsdQVPb,Fake Plastic Trees,https://www.youtube.com/watch?v=n5h0qHwNrHk,61340263,True,1,219867047
78,Radiohead,https://open.spotify.com/artist/4Z8W4fKeB5YxbusRsdQVPb,Just,https://www.youtube.com/watch?v=oIFLtNYI3Ls,15041854,True,1,88945336
79,Radiohead,https://open.spotify.com/artist/4Z8W4fKeB5YxbusRsdQVPb,Nude,https://www.youtube.com/watch?v=BbWBRnDK_AE,12205514,True,1,86388469
80,AC/DC,https://open.spotify.com/artist/711MCceyCBcFnzjGY4Q7Un,Highway to Hell,https://www.youtube.com/watch?v=l482T0yNkeo,274830901,True,1,1143164505
81,AC/DC,https://open.spotify.com/artist/711MCceyCBcFnzjGY4Q7Un,Thunderstruck,https://www.youtube.com/watch?v=v2AC41dglnM,1224226060,True,1,1088388556
82,AC/DC,https://open.spotify.com/artist/711MCceyCBcFnzjGY4Q7Un,Back In Black,https://www.youtube.com/watch?v=pAgnJDJN4VA,915158054,True,1,1182379398
83,AC/DC,https://open.spotify.com/artist/711MCceyCBcFnzjGY4Q7Un,You Shook Me All Night Long,https://www.youtube.com/watch?v=Lo2qQmj0_h4,279117834,True,1,802076123
84,AC/DC,https://open.spotify.com/artist/711MCceyCBcFnzjGY4Q7Un,T.N.T.,https://www.youtube.com/watch?v=44XYEeD1A1U,240908491,True,1,526521070
85,AC/DC,https://open.spotify.com/artist/711MCceyCBcFnzjGY4Q7Un,Hells Bells,https://www.youtube.com/watch?v=etAIpkdhU9Q,252038354,True,1,296521772
86,AC/DC,https://open.spotify.com/artist/711MCceyCBcFnzjGY4Q7Un,Dirty Deeds Done Dirt Cheap,https://www.youtube.com/watch?v=jsjdjWGDvFk,852728,True,1,269837425
87,AC/DC,https://open.spotify.com/artist/711MCceyCBcFnzjGY4Q7Un,Shoot to Thrill,https://www.youtube.com/watch?v=xRQnJyP77tY,172293392,True,1,292026041
88,AC/DC,https://open.spotify.com/artist/711MCceyCBcFnzjGY4Q7Un,It's a Long Way to the Top (If You Wanna Rock 'N' Roll),https://www.youtube.com/watch?v=j9Z39Uqybcw,102527,False,1,196347993
89,AC/DC,https://open.spotify.com/artist/711MCceyCBcFnzjGY4Q7Un,Rock N Roll Train,https://www.youtube.com/watch?v=FrFvNphZ5BQ,18237531,True,1,144143014
